N	Number	IDs	STRAIN	CULTURE_COLLECTION	ISOLATE	GENOTYPE	PLASMID	METAGENOME?	COMPLETENESS_ESTIMATED	CONTAMINATION_ESTIMATED	COLLECTED_BY	COLLECTION_DATE	COUNTRY (mixed up)	LAT_LON	HOST	HOST_SEX	HOST_AGE	ISOLATION_SOURCE	HOST_DISEASE	HOST_DISEASE_OUTCOME	ANTIBIOTICS	Bio Project	Pubmed	Length (T)	Complete?	Coverage	Seq Method	GCpercent	Length	Number of sequences	COUNTRY	CITY(or similar)	REGION/STATE	HOSPITAL	Comentario	Pub. Year	Proteins_Prokka	Isolation source2	ISOLATION_SOURCE_RECOD	HOST_DISEASE_RECOD	Isol Source 3	Isol Source 4	NEW_HOSPITAL	whyDeleted	whyDeleted2	Group	CRISPR_cluster	CRISPR_arrays
63	ab00063	GCA_000301235.1_ASM30123v1	AB_1649-8												Homo sapiens			sputum				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA172660		8868	NO	126	Illumina GA-II	38.9674953915949	3786017	140							3538	sputum	Respiratorio	Respiratorio	Respiratory	Respiratory airways		A. baumannii	A. baumannii	group1	csy4(cas6f);csy3(cas7);csy2(cas5);BMY_2099(cas8f);cas3(cas2_3);cas1	4
64	ab00064	GCA_000301255.1_ASM30125v1	AB_1650-8												Homo sapiens			bone				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA172661		4851	NO	115	Illumina GA-II	38.9584934402113	3791738	133							3551	several	Osteoarticular	Osteoarticular	Osteoarticular	Bone/joints		no_16S	no_16S			
65	ab00065	GCA_000301275.1_ASM30127v1	AB_1766_8												Homo sapiens			blood				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA172662		25017	NO	104	Illumina GA-II	38.9859457653405	4010535	222							3751	blood	Bacteriemia	Bacteriemia	Bacteremia	Blood		A. baumannii	A. baumannii	group2		3
66	ab00066	GCA_000301295.1_ASM30129v1	AB_2007-16-25-01-7															hospital surface				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA172664		1203	NO	169	Illumina GA-II	38.8433133843384	3961436	81							3724	several	Superficie inerte	Superficie inerte	Inert	Inert surfaces		A. baumannii	A. baumannii	group1		1
67	ab00067	GCA_000301315.1_ASM30131v1	AB_2008-15-45												Homo sapiens			bronchoalveolar lavage				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA172667		2684	NO	95	Illumina GA-II	38.9975158099784	4100733	140							3898	pulmonary	Respiratorio	Respiratorio	Respiratory	Respiratory airways		A. baumannii	A. baumannii	group2		1
68	ab00068	GCA_000301335.1_ASM30133v1	AB_2008-15-69																			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA172669		125504	NO	97	Illumina GA-II	39.0585285093428	4136907	75							3876					Others		A. baumannii	A. baumannii	group1	csy4(cas6f);csy3(cas7);csy2(cas5);BMY_2099(cas8f);cas3(cas2_3);cas1	2
69	ab00069	GCA_000301355.1_ASM30135v1	AB_2008-15-71												Homo sapiens			sputum				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA172671		3621	NO	91	Illumina GA-II	38.9107745784271	3886101	90							3593	sputum	Respiratorio	Respiratorio	Respiratory	Respiratory airways		A. baumannii	A. baumannii	group1		6
70	ab00070	GCA_000301375.1_ASM30137v1	AB_515-8												Homo sapiens			sputum				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA172676		12839	NO	116	Illumina GA-II	38.9554332577965	4077480	222							3828	sputum	Respiratorio	Respiratorio	Respiratory	Respiratory airways		A. baumannii	A. baumannii	group2		3
71	ab00071	GCA_000301395.1_ASM30139v1	AB_908-12															hospital surface				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA172677		320	NO	137	Illumina GA-II	38.9533091169936	3992621	115							3739	several	Superficie inerte	Superficie inerte	Inert	Inert surfaces		A. baumannii	A. baumannii	group2		1
72	ab00072	GCA_000301415.1_ASM30141v1	AB_909-01-7												Homo sapiens			blood				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA172680		325	NO	185	Illumina GA-II	38.922591360724	3790688	117							3549	blood	Bacteriemia	Bacteriemia	Bacteremia	Blood		A. baumannii	A. baumannii	group1	cas1;csy4(cas6f);unknown758(cas7);csy2(cas5);unknown1336;cas3(cas2_3)	9
73	ab00073	GCA_000301435.1_ASM30143v1	AB_909-02-7												Homo sapiens			sputum				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA172681		4868	NO	123	Illumina GA-II	38.9048205191367	3929639	98							3693	sputum	Respiratorio	Respiratorio	Respiratory	Respiratory airways		A. baumannii	A. baumannii	group1	csy4(cas6f);csy3(cas7);csy2(cas5);BMY_2099(cas8f);cas3(cas2_3);cas1	5
74	ab00074	GCA_000301455.1_ASM30145v1	AB_TG2022												Homo sapiens			blood				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA172687		2187	NO	155	Illumina GA-II	39.1033134142478	3936091	198							3665	blood	Bacteriemia	Bacteriemia	Bacteremia	Blood		no_16S	no_16S			
75	ab00075	GCA_000301475.1_ASM30147v1	AB_TG2023												Homo sapiens			blood				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA172688		4683	NO	137	Illumina GA-II	39.0622932133149	3944282	175							3669	blood	Bacteriemia	Bacteriemia	Bacteremia	Blood		A. baumannii	A. baumannii	group2		2
76	ab00076	GCA_000301495.1_ASM30149v1	AB_TG2026												Homo sapiens			wound				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA172689		1095	NO	66	Illumina GA-II	39.5254781428555	4208784	691							3856	wound	IPPB	IPPB	Skin & Soft Tissue Infection	Skin and soft tissues		no_16S	no_16S			
77	ab00077	GCA_000301515.1_ASM30151v1	AB_TG2028												Homo sapiens			sputum				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA172690		10714	NO	191	Illumina GA-II	39.0202246666571	3770742	129							3509	sputum	Respiratorio	Respiratorio	Respiratory	Respiratory airways		A. baumannii	A. baumannii	group1		3
78	ab00078	GCA_000301535.1_ASM30153v1	AB_TG2030												Homo sapiens			sputum				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA172691		8033	NO	145	Illumina GA-II	39.0676265735273	3764393	151							3492	sputum	Respiratorio	Respiratorio	Respiratory	Respiratory airways		A. baumannii	A. baumannii	group1		2
79	ab00079	GCA_000301555.1_ASM30155v1	AB_TG2031												Homo sapiens			sputum				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA172692		189168	NO	125	Illumina GA-II	38.9500812628146	3782788	75							3519	sputum	Respiratorio	Respiratorio	Respiratory	Respiratory airways		A. baumannii	A. baumannii	group1		1
80	ab00080	GCA_000301575.1_ASM30157v1	AB_TG2631												Homo sapiens			blood				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA172694		7407	NO	135	Illumina GA-II	38.9278133986997	3881302	95							3627	blood	Bacteriemia	Bacteriemia	Bacteremia	Blood		A. baumannii	A. baumannii	group2		1
81	ab00081	GCA_000301595.1_ASM30159v1	AB_TG27323																			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA172695		213	NO	70	Illumina GA-II	38.9994525728445	3962171	103							3686					Others		A. baumannii	A. baumannii	group2		1
82	ab00082	GCA_000301615.1_ASM30161v1	AB_TG27331												Homo sapiens			sputum				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA172697		746	NO	77	Illumina GA-II	38.9607493089944	4062196	148							3807	sputum	Respiratorio	Respiratorio	Respiratory	Respiratory airways		A. baumannii	A. baumannii	group2		1
83	ab00083	GCA_000301655.1_ASM30165v1	AB_TG5064												Homo sapiens			blood				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA172702		4788	NO	72	Illumina GA-II	39.4846171374361	3760971	471							3383	blood	Bacteriemia	Bacteriemia	Bacteremia	Blood		A. baumannii	A. baumannii	group1		3
84	ab00084	GCA_000301835.1_ASM30183v1	AB_1536-8																			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA172655		1336	NO	48	Illumina GA-II	38.8217326576465	3844187	194							3505					Others		A. baumannii	A. baumannii	group1		5
85	ab00085	GCA_000301855.1_ASM30185v1	AB_1583-8																			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA172657		5327	NO	89	Illumina GA-II	39.2422845151947	3889613	322							3672					Others		A. baumannii	A. baumannii	group1	cas1;csy4(cas6f);unknown758(cas7);csy2(cas5);unknown1336;cas3(cas2_3)	4
86	ab00086	GCA_000301875.1_ASM30187v1	AB_2007-09-110-01-7															hospital surface				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA172663		1780	NO	180	Illumina GA-II	38.8893273546219	3965849	274							3736	several	Superficie inerte	Superficie inerte	Inert	Inert surfaces		A. baumannii	A. baumannii	group1	csy4(cas6f);csy3(cas7);csy2(cas5);BMY_2099(cas8f);cas3(cas2_3);cas1;X(369);cas9;X(471);cas1;csy4(cas6f);unknown758(cas7);csy2(cas5);unknown1336;unknown4127;cas3(cas2_3);X(160);unknown2566(cas9)	8
87	ab00087	GCA_000301895.1_ASM30189v1	AB_2007-16-27-01															hospital surface				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA172665		157350	NO	103	Illumina GA-II	38.8565150226354	3970109	71							3726	several	Superficie inerte	Superficie inerte	Inert	Inert surfaces		A. baumannii	A. baumannii	group1		2
88	ab00088	GCA_000301915.1_ASM30191v1	AB_2008-15-34-7												Homo sapiens			sputum				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA172666		33698	NO	115	Illumina GA-II	38.8711745679343	3918675	157							3687	sputum	Respiratorio	Respiratorio	Respiratory	Respiratory airways		A. baumannii	A. baumannii	group2		2
89	ab00089	GCA_000301935.1_ASM30193v1	AB_2008-15-52												Homo sapiens			wound				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA172668		1619	NO	115	Illumina GA-II	38.9199106696128	3889382	104							3605	wound	IPPB	IPPB	Skin & Soft Tissue Infection	Skin and soft tissues		A. baumannii	A. baumannii	group1		5
90	ab00090	GCA_000301955.1_ASM30195v1	AB_2008-15-70												Homo sapiens			tracheal aspirate				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA172670		15050	NO	77	Illumina GA-II	39.0038650249615	4101914	234							3881	pulmonary	Respiratorio	Respiratorio	Respiratory	Respiratory airways		A. baumannii	A. baumannii	group2		1
91	ab00091	GCA_000301975.1_ASM30197v1	AB_2008-23-01-01-7															hospital surface				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA172672		74501	NO	119	Illumina GA-II	39.2519403347829	4032165	116							3819	several	Superficie inerte	Superficie inerte	Inert	Inert surfaces		A. baumannii	A. baumannii	group1	cas1;csy4(cas6f);unknown758(cas7);csy2(cas5);unknown1336;cas3(cas2_3);X(26);Vcrx011	8
92	ab00092	GCA_000301995.1_ASM30199v1	AB_2009-04-01-7												Homo sapiens			wound				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA172674		30247	NO	153	Illumina GA-II	38.8591841678236	3839270	86							3603	wound	IPPB	IPPB	Skin & Soft Tissue Infection	Skin and soft tissues		A. baumannii	A. baumannii	group1	cas3(cas2_3);unknown1336;csy2(cas5);unknown758(cas7);csy4(cas6f);cas1	7
93	ab00093	GCA_000302015.1_ASM30201v1	AB_2009-04-02-7												Homo sapiens			sputum				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA172675		23514	NO	119	Illumina GA-II	38.9580446481801	3972032	163							3709	sputum	Respiratorio	Respiratorio	Respiratory	Respiratory airways		A. baumannii	A. baumannii	group2		1
94	ab00094	GCA_000302035.1_ASM30203v1	AB_908-13												Homo sapiens			urine				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA172678		6037	NO	108	Illumina GA-II	38.9267750017933	3973165	175							3730	urine	Urinario	ITU	Urinary	Urinary tract		A. baumannii	A. baumannii	group1	cas1;cas3(cas2_3);BMY_2099(cas8f);csy2(cas5);csy3(cas7);csy4(cas6f)	5
95	ab00095	GCA_000302055.1_ASM30205v1	AB_908-14-7												Homo sapiens			bronchoalveolar lavage				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA172679		19002	NO	163	Illumina GA-II	39.0814313891237	3850665	291							3616	pulmonary	Respiratorio	Respiratorio	Respiratory	Respiratory airways		A. baumannii	A. baumannii	group1		2
96	ab00096	GCA_000302075.1_ASM30207v1	AB_909-05												Homo sapiens			sputum				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA172682		932	NO	122	Illumina GA-II	38.9147125482716	4045601	181							3813	sputum	Respiratorio	Respiratorio	Respiratory	Respiratory airways		A. baumannii	A. baumannii	group2		1
97	ab00097	GCA_000302095.1_ASM30209v1	AB_909-14-7												Homo sapiens			wound				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA172683		19938	NO	122	Illumina GA-II	38.7779171130443	4006324	584							3735	wound	IPPB	IPPB	Skin & Soft Tissue Infection	Skin and soft tissues		A. baumannii	A. baumannii	group2		2
98	ab00098	GCA_000302135.1_ASM30213v1	AB_TG19617																			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA172685		1174	NO	76	Illumina GA-II	38.9496952257822	3890585	59							3656					Others		A. baumannii	A. baumannii	group1	cas3(cas2_3);unknown4127;unknown1336;csy2(cas5);unknown758(cas7);csy4(cas6f);cas1	7
99	ab00099	GCA_000302155.1_ASM30215v1	AB_TG2018												Homo sapiens			sputum				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA172686		13612	NO	122	Illumina GA-II	39.0880097484501	3975196	147							3751	sputum	Respiratorio	Respiratorio	Respiratory	Respiratory airways		A. baumannii	A. baumannii	group1	Vcrx011;X(440);cas3(cas2_3);unknown1336;csy2(cas5);unknown758(cas7);csy4(cas6f);cas1	7
100	ab00100	GCA_000302175.1_ASM30217v1	AB_TG2032												Homo sapiens			sputum				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA172693		49541	NO	63	Illumina GA-II	39.5425270230381	3557150	353							3201	sputum	Respiratorio	Respiratorio	Respiratory	Respiratory airways		low_n_genes	low_n_genes			
101	ab00101	GCA_000302195.1_ASM30219v1	AB_TG27327												Homo sapiens			wound				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA172696		155973	NO	78	Illumina GA-II	39.0102069295483	4012960	104							3752	wound	IPPB	IPPB	Skin & Soft Tissue Infection	Skin and soft tissues		A. baumannii	A. baumannii	group2		0
102	ab00102	GCA_000302215.1_ASM30221v1	AB_TG27335																			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA172698		397	NO	65	Illumina GA-II	38.9590439358241	4061401	137							3819					Others		A. baumannii	A. baumannii	group2		0
103	ab00103	GCA_000302235.1_ASM30223v1	AB_TG27339												Homo sapiens			sputum				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA172699		200	NO	71	Illumina GA-II	38.8519941896199	3971513	46							3732	sputum	Respiratorio	Respiratorio	Respiratory	Respiratory airways		A. baumannii	A. baumannii	group1		0
104	ab00104	GCA_000302255.1_ASM30225v1	AB_TG27343												Homo sapiens			wound				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA172700		1649	NO	72	Illumina GA-II	39.0598990567578	4011165	182							3836	wound	IPPB	IPPB	Skin & Soft Tissue Infection	Skin and soft tissues		A. baumannii	A. baumannii	group1	cas1;csy4(cas6f);unknown758(cas7);csy2(cas5);unknown1336;cas3(cas2_3)	4
105	ab00105	GCA_000302275.1_ASM30227v1	TG19582																			https://www.ncbi.nlm.nih.gov/bioproject/PRJNA172703		20837	NO	23	Illumina GA-II	39.0753807640586	3797693	366							3572					Others		no_16S	no_16S			
106	ab00106	GCA_000302575.1_ASM30257v1	TYTH-1									2008										https://www.ncbi.nlm.nih.gov/bioproject/PRJNA74551	https://www.ncbi.nlm.nih.gov/pubmed/?term=23209228	3957368	YES			39.021277800071	3957364	1	Taiwan				Taiwan	2012	3695					Others		A. baumannii	A. baumannii	group2		0
107	ab00107	GCA_000304655.1_gacin18v1.0	IS-251									2008	Iraq:Ibn Sina		Homo sapiens			respiratory tract				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA53411		177731	NO		Illumina	38.9203316159615	4007286	72	Iraq	Baghdad		Ibn Sina Hospital			3822	pulmonary	Respiratorio	Respiratorio	Respiratory	Respiratory airways	Ibn Sina Hospital	A. baumannii	A. baumannii	group1	cas1;cas3(cas2_3);BMY_2099(cas8f);csy2(cas5);csy3(cas7);csy4(cas6f)	5
108	ab00108	GCA_000304675.1_GACIN20v1.0	Naval-72									2006	USA:National Naval Medical Center, Bethesda, MD		Homo sapiens			wound				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA53415		200	NO		Illumina	38.8099268497753	3840453	52	USA	Bethesda	Maryland	National Naval Medical Center			3523	wound	IPPB	IPPB	Skin & Soft Tissue Infection	Skin and soft tissues	National Naval Medical Center	A. baumannii	A. baumannii	group1		2
109	ab00109	GCA_000304695.1_gacin17v1.0	IS-235									2008	Iraq:Ibn Sina		Homo sapiens			blood				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA53409		39440	NO		Illumina	38.9265358203541	4060387	76	Iraq	Baghdad		Ibn Sina Hospital			3895	blood	Bacteriemia	Bacteriemia	Bacteremia	Blood	Ibn Sina Hospital	no_16S	no_16S			
110	ab00110	GCA_000305215.1_gacin13v1.0	OIFC074									2003	Germany:Landstuhl Regional Medical Center, Landstuhl		Homo sapiens						multidrug resistant	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA53401		80855	NO		Illumina	39.0559385836182	3935888	66	Germany	Landstuhl		Landstuhl Regional Medical Center			3713					Others	Landstuhl Regional Medical Center	no_16S	no_16S			
111	ab00111	GCA_000305235.1_gacin14v1.0	OIFC098									2003	Germany:Landstuhl Regional Medical Center, Landstuhl		Homo sapiens						multidrug resistant	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA53403		140026	NO		Illumina	39.0900372287068	3812112	72	Germany	Landstuhl		Landstuhl Regional Medical Center			3568					Others	Landstuhl Regional Medical Center	no_16S	no_16S			
112	ab00112	GCA_000305255.1_gacin15v1.0	OIFC180									2003	USA:Aboard the hospital ship USNS Comfort		Homo sapiens						multidrug resistant	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA53405		2086	NO		Illumina	39.0512947276566	3986823	141	USA			Aboard the hospital ship USNS Comfort			3809					Others	Aboard the hospital ship USNS Comfort	A. baumannii	A. baumannii	group2		0
113	ab00113	GCA_000305275.1_gacin22v1.0	OIFC110									2003	Germany:Landstuhl, Landstuhl Regional Medical Center		Homo sapiens						multidrug resistant	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA53419		286	NO		Illumina	38.876364818144	3981666	53	Germany	Landstuhl		Landstuhl Regional Medical Center			3748					Others	Landstuhl Regional Medical Center	A. baumannii	A. baumannii	group1		2
114	ab00114	GCA_000305295.1_gacin16v1.0	Naval-13									2006	USA:National Naval Medical Center, Bethesda, MD		Homo sapiens			wound			multidrug resistant	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA53407		242845	NO		Illumina	38.940735494994	4107737	64	USA	Bethesda	Maryland	National Naval Medical Center			3869	wound	IPPB	IPPB	Skin & Soft Tissue Infection	Skin and soft tissues	National Naval Medical Center	A. baumannii	A. baumannii	group1		5
115	ab00115	GCA_000305315.1_gacin21v1.0	Naval-83									2006	USA:National Naval Medical Center, Bethesda, MD		Homo sapiens			wound			multidrug resistant	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA53417		494	NO		Illumina	38.9761075029653	4106603	103	USA	Bethesda	Maryland	National Naval Medical Center			3878	wound	IPPB	IPPB	Skin & Soft Tissue Infection	Skin and soft tissues	National Naval Medical Center	A. baumannii	A. baumannii	group2	csy4(cas6f);csy3(cas7);csy2(cas5);BMY_2099(cas8f);cas3(cas2_3);cas1	6
116	ab00116	GCA_000307895.1_gacin19v1.0	OIFC0162									2003	USA:Walter Reed Army Medical Center, Washington, DC		Homo sapiens			trachea				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA53413		5009	NO		Illumina	38.7665601134171	4078399	55	USA	Washington	District of Columbia	Walter Reed Army Medical Center			3817	pulmonary	Respiratorio	Respiratorio	Respiratory	Respiratory airways	Walter Reed Army Medical Center	no_16S	no_16S			
117	ab00117	GCA_000307975.2_ASM30797v2	AC30									2011	Malaysia:Koala Terenggeanu		Homo sapiens			endotrachial secretion			multidrug resistant	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA173033	https://www.ncbi.nlm.nih.gov/pubmed/?term=26779129	3826505	YES	245	Illumina	38.8324178870564	3922859	4	Malaysia	Kuala Terengganu					3728	pulmonary	Respiratorio	Respiratorio	Respiratory	Respiratory airways		A. baumannii	A. baumannii	group2		1
118	ab00118	GCA_000308995.1_ASM30899v1	AB_2008-23-07-01-7															hospital surface				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA172673		9432	NO	120	Illumina GA-II	39.0098672847695	3995020	242							3696	several	Superficie inerte	Superficie inerte	Inert	Inert surfaces		A. baumannii	A. baumannii	group2		1
119	ab00119	GCA_000309095.1_gacin42v1.0	OIFC087									2003	USA:Walter Reed Army Medical Center, Washington, DC		Homo sapiens			perineum				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA53459		130598	NO	61	Illumina	38.9800738235895	4004682	96	USA	Washington	District of Columbia	Walter Reed Army Medical Center			3789	perineum	Perianal	Colonización	Perianal	Perianal	Walter Reed Army Medical Center	no_16S	no_16S			
120	ab00120	GCA_000309115.1_gacin45v1.0	OIFC065									2003	USA:Walter Reed Army Medical Center, Washington, DC		Homo sapiens			patient left leg				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA53465		51672	NO		Illumina	38.8080243276953	4029646	54	USA	Washington	District of Columbia	Walter Reed Army Medical Center			3837	several	Osteoarticular	Osteoarticular	Osteoarticular	Bone/joints	Walter Reed Army Medical Center	no_16S	no_16S			
121	ab00121	GCA_000309135.1_gacin43v1.0	OIFC099									2003	USA:Walter Reed Army Medical Center, Washington, DC									https://www.ncbi.nlm.nih.gov/bioproject/PRJNA53461		214327	NO		Illumina	38.9915514281259	3918177	75	USA	Washington	District of Columbia	Walter Reed Army Medical Center			3666					Others	Walter Reed Army Medical Center	no_16S	no_16S			
122	ab00122	GCA_000309155.1_gacin48v1.0	OIFC111									2003	USA:Walter Reed Army Medical Center, Washington, DC		Homo sapiens			perineum				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA53471		11761	NO		Illumina	39.0720452871709	3988061	44	USA	Washington	District of Columbia	Walter Reed Army Medical Center			3671	perineum	Perianal	Colonización	Perianal	Perianal	Walter Reed Army Medical Center	A. baumannii	A. baumannii	group1	cas3(cas2_3)	3
123	ab00123	GCA_000309175.1_gacin34v1.0	Naval-2									2006	USA:National Naval Medical Center, Bethesda, MD		Homo sapiens			blood				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA53443		597	NO		Illumina	39.0840532648338	4126550	114	USA	Bethesda	Maryland	National Naval Medical Center			3936	blood	Bacteriemia	Bacteriemia	Bacteremia	Blood	National Naval Medical Center	A. baumannii	A. baumannii	group2		1
